place_id,best_type,subtype
ChIJqSHozRjIBZERtbsnNkuMfng,Jiu Jitsu,MMA
ChIJ-Y9xE8PFBZERYnNQ_wmVuXg,MMA,Wrestling
ChIJa1MpRMDPBZER3Zq-EXTKhP8,MMA,Krav Maga
ChIJa1MpRMDPBZER3Zq-EXTKhP8,MMA,Muay Thai
ChIJa1MpRMDPBZER3Zq-EXTKhP8,MMA,Boxing
ChIJNwNYneXPBZERvnx_1rWKLmQ,MMA,Muay Thai
ChIJNwNYneXPBZERvnx_1rWKLmQ,MMA,Sambo
ChIJNwNYneXPBZERvnx_1rWKLmQ,MMA,Jiu Jitsu
ChIJAQXOKwvNBZERqF_wMqqlaZc,MMA,NA
ChIJKesXee25BZERRTPN-SaAGX4,Jiu Jitsu,NA
ChIJ1YpSKgDJBZERKDmUGecW1nQ,Jiu Jitsu,NA
ChIJqT3IfADFBZERiGYMI6Qk8xc,MMA,Kickboxing
ChIJqT3IfADFBZERiGYMI6Qk8xc,MMA,Boxing
ChIJqT3IfADFBZERiGYMI6Qk8xc,MMA,MMA
ChIJEXuVY_i3BZER08CWMOYLlzA,Jiu Jitsu,Muay Thai
ChIJEXuVY_i3BZER08CWMOYLlzA,Jiu Jitsu,Boxing
ChIJEXKqbTO3BZER3euLTELXG_U,Jiu Jitsu,NA
ChIJXfqFUWXHBZERBCWUtdh8OzA,Jiu Jitsu,NA
ChIJA-eyd8bIBZERzlDlMoT-BUo,MMA,NA
ChIJOfVTLj_JBZERTUyB_kKhYnc,Jiu Jitsu,NA
ChIJJ-HrgETHBZERj90CNmOWPh4,Jiu Jitsu,NA
ChIJo5dfznG7BZERUKPgRmSt_tE,MMA,Sanda
ChIJIxkhu37HBZEROfIG-FHuJYM,Jiu Jitsu,NA
ChIJuSGxkgrRBZER1xdiRMDhh04,Jiu Jitsu,NA
ChIJzwKq4Mi5BZER0d4ZhuG1mXA,MMA,Kickboxing
ChIJN5ZmqUjDBZERfg6CAsw_DIk,Jiu Jitsu,NA
ChIJ_7g9iXnHBZERhEl77cpDon4,Jiu Jitsu,NA
ChIJk8SzSkDOBZERCTZ3zE24RQw,Jiu Jitsu,Boxing
ChIJk8SzSkDOBZERCTZ3zE24RQw,Jiu Jitsu,Muay Thai
ChIJk8SzSkDOBZERCTZ3zE24RQw,Jiu Jitsu,Judo
ChIJk8SzSkDOBZERCTZ3zE24RQw,Jiu Jitsu,Tae Kwon Do
ChIJN3QsxCbPBZERgR2YabPmQbA,Jiu Jitsu,Boxing
ChIJN3QsxCbPBZERgR2YabPmQbA,Jiu Jitsu,Muay Thai
ChIJN3QsxCbPBZERgR2YabPmQbA,Jiu Jitsu,Judo
ChIJN3QsxCbPBZERgR2YabPmQbA,Jiu Jitsu,Tae Kwon Do
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Jiu Jitsu,Judo
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Jiu Jitsu,Sambo
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Jiu Jitsu,Aikido
ChIJb35O-MG5BZER0gm5vyGT7yY,Jiu Jitsu,NA
ChIJKaKtOJLTBZERIcXehVZ4ODk,MMA,Muay Thai
ChIJKaKtOJLTBZERIcXehVZ4ODk,MMA,Jiu Jitsu
ChIJKaKtOJLTBZERIcXehVZ4ODk,MMA,Boxing
ChIJKaKtOJLTBZERIcXehVZ4ODk,MMA,Kickboxing
ChIJl8KifKTVBZERAZzwbANiMV4,MMA,Muay Thai
ChIJl8KifKTVBZERAZzwbANiMV4,MMA,Jiu Jitsu
ChIJl8KifKTVBZERAZzwbANiMV4,MMA,Boxing
ChIJl8KifKTVBZERAZzwbANiMV4,MMA,Kickboxing
ChIJN9wzg_zRBZERNZr_IawriMM,MMA,NA
ChIJ978EWfa5BZERiREZ7hbxVA0,Jiu Jitsu,NA
ChIJSb1NrmPJBZERf34Gt0a60eM,Jiu Jitsu,NA
ChIJvwqpvkHHBZERdO0CswW9ZsU,Jiu Jitsu,NA
ChIJgfP7ckzRBZERYV0OABgUnqA,MMA,NA
ChIJvYHKt3-jBZEROnva_mUx-X0,MMA,Muay Thai
ChIJvYHKt3-jBZEROnva_mUx-X0,MMA,Jiu Jitsu
ChIJGy2VpEjPBZERRuN81xfxeJc,MMA,Jiu Jitsu
ChIJGy2VpEjPBZERRuN81xfxeJc,MMA,Wrestling
ChIJGy2VpEjPBZERRuN81xfxeJc,MMA,Muay Thai
ChIJGy2VpEjPBZERRuN81xfxeJc,MMA,Boxing
ChIJvacSRQDVBZERBxHZNVWjEjw,Jiu Jitsu,Judo
ChIJabJUHWzHBZERBIaiGFzAyBc,Jiu Jitsu,NA
ChIJkfQshOjFBZERHZm1o7HcYTE,MMA,NA
ChIJp8E3VQ3PBZERnloYE0DqDw4,Mma,NA
ChIJG05Mh_DHBZERetDpq21KTFw,Jiu Jitsu,NA
ChIJNeMy2jDJBZERawYM4lCPlLc,Jiu Jitsu,NA
ChIJv_9GrX3JBZERpdIfG8ujNTI,Jiu Jitsu,NA
ChIJZxWvr-HIBZERPwGb5wPFqag,Judo,NA
ChIJ3cBfgAbJBZERjo1i2MqHYMk,MMA,NA
ChIJP6z8pTTJBZERkq2_VrWh5QA,Jiu Jitsu,NA
ChIJl-OE-4bIBZERA407nV0og0Y,Jiu Jitsu,NA
ChIJG1UHBFrJBZERLbEeqYaaKuY,Jiu Jitsu,NA
ChIJn7sYPwDJBZER8XVYDRxEe8E,Jiu Jitsu,Muay Thai
ChIJn7sYPwDJBZER8XVYDRxEe8E,Jiu Jitsu,MMA
ChIJkwetawDPBZERe4-TTmC1ho0,MMA,Boxing
ChIJkwetawDPBZERe4-TTmC1ho0,MMA,Jiu Jitsu
ChIJkwetawDPBZERe4-TTmC1ho0,MMA,Muay Thai
ChIJERtB_gzJBZERgcXx1-xaPVE,MMA,Boxing
ChIJERtB_gzJBZERgcXx1-xaPVE,MMA,Jiu Jitsu
ChIJERtB_gzJBZERgcXx1-xaPVE,MMA,Muay Thai
ChIJ93hXYyfHBZERcjGFyxcuVdE,MMA,Boxing
ChIJ93hXYyfHBZERcjGFyxcuVdE,MMA,Jiu Jitsu
ChIJ93hXYyfHBZERcjGFyxcuVdE,MMA,Muay Thai
ChIJ4Y4PDdzHBZERJXAhgGULTzE,Judo,NA
ChIJpx8PrxK5BZER6zsdCeVE_ks,MMA,NA
ChIJvRitl9XJBZERpWI5jNsJq0k,Jiu Jitsu,NA
ChIJ50sMOerHBZERn8tKf7_hoAY,MMA,NA
ChIJK54LUY6ZBZERR-WxLMqnM2I,MMA,NA
ChIJTST-HcnJBZERrNhTM-u_rJA,Jiu Jitsu,NA
ChIJX_TLpF_JBZER0h0_mprkNC0,Mma,NA
ChIJj4ZR05TLBZERZz0HklRYUlQ,Mma,NA
ChIJZ920gvzIBZERgQR9-HhPq6w,Jiu Jitsu,NA
ChIJdZHuDynJBZERmT2FI6h0ib4,MMA,Kickboxing
ChIJdZHuDynJBZERmT2FI6h0ib4,MMA,Wrestling
ChIJdZHuDynJBZERmT2FI6h0ib4,MMA,Jiu Jitsu
ChIJdZHuDynJBZERmT2FI6h0ib4,MMA,Judo
