place_id,photo,street_view,logo,has_photo,has_street_view,has_logo,media_completeness_score,logo_status
ChIJx2KpUbvJBZERSXuxS6VWegQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noP7ffRNWuuXdSU7idtRnd7sjZktCxAQKYjEuJZq4-AY97gwH__teMogM5y_o0XMVT_gUYn9WZrxP6pKpNIQDVY4CDEBp4f0ZMVv82Ep3bVuKN8VYelIcETv2u3A_SgNwvxa72U=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noP7ffRNWuuXdSU7idtRnd7sjZktCxAQKYjEuJZq4-AY97gwH__teMogM5y_o0XMVT_gUYn9WZrxP6pKpNIQDVY4CDEBp4f0ZMVv82Ep3bVuKN8VYelIcETv2u3A_SgNwvxa72U=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJ4e04LYrJBZERJn9FTvP_KYc,https://lh3.googleusercontent.com/p/AF1QipNJXjN89C224NLWp4P0pbsUZRnm5ZyjCB7-9UlT=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNJXjN89C224NLWp4P0pbsUZRnm5ZyjCB7-9UlT=w1600-h1000-k-no,https://lh6.googleusercontent.com/-UiLAx-4R4kg/AAAAAAAAAAI/AAAAAAAAAAA/wK0P5PMbuOo/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJCZ9ET-npBZERmwkARU697XA,NA,https://lh3.googleusercontent.com/p/AF1QipNOlEhyawS9MaMbDb8op1Z6N8FdUulGAtQH9vim=w1600-h1000-k-no,https://lh5.googleusercontent.com/-Hi8qwgT-oXo/AAAAAAAAAAI/AAAAAAAAAAA/84IB6hBlJ6M/s44-p-k-no-ns-nd/photo.jpg,FALSE,TRUE,TRUE,2,has_logo
ChIJzRmx2l3vBZERIv9LuWJr-UY,NA,NA,https://lh3.googleusercontent.com/-XdB6gIuKKIA/AAAAAAAAAAI/AAAAAAAAAAA/_87mvxwo6dY/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJubZD0HvFBZERQWkbdUOlvgQ,https://lh3.googleusercontent.com/p/AF1QipMSPQkcZayRed3x_Aou3cxr87S_UzOYabeCDLII=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMSPQkcZayRed3x_Aou3cxr87S_UzOYabeCDLII=w1600-h1000-k-no,https://lh5.googleusercontent.com/-krg7BeoU73c/AAAAAAAAAAI/AAAAAAAAAAA/hAHPl0ZkdaE/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJz03HLXzBBZERrg1vTS-hH8o,https://lh3.googleusercontent.com/p/AF1QipMY4evonq7HXQiD8sNYt7s0W6NjFwaM2rZs1Ekm=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMY4evonq7HXQiD8sNYt7s0W6NjFwaM2rZs1Ekm=w1600-h1000-k-no,https://lh5.googleusercontent.com/-fSiGiC041g8/AAAAAAAAAAI/AAAAAAAAAAA/JXOKVssjP2I/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJMWm_TyDFBZERPAmzxjVEhbo,https://lh3.googleusercontent.com/p/AF1QipPuE21bylGvPYwMlOsaTtFVU479bmCDjdsN6MQ=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPuE21bylGvPYwMlOsaTtFVU479bmCDjdsN6MQ=w1600-h1000-k-no,https://lh6.googleusercontent.com/-pw-EpGORNbQ/AAAAAAAAAAI/AAAAAAAAAAA/MYOtspcDSJM/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJwTj8Xu7FBZERi0agsCck9RU,https://lh3.googleusercontent.com/p/AF1QipOqJDSzq5R6jQkPckomBm2g7TdR8kIT2JxFOW9A=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOqJDSzq5R6jQkPckomBm2g7TdR8kIT2JxFOW9A=w1600-h1000-k-no,https://lh4.googleusercontent.com/-jz_PdyRdUrs/AAAAAAAAAAI/AAAAAAAAAAA/vyJt1ngQQZ4/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJVW0EmhHHBZER_JJo4iXfnkY,https://lh3.googleusercontent.com/p/AF1QipMJtsI57Nez3Hu4L8uV-P51dzu_7WyfJ-PNWktZ=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMJtsI57Nez3Hu4L8uV-P51dzu_7WyfJ-PNWktZ=w1600-h1000-k-no,https://lh3.googleusercontent.com/-gylo3GcjE04/AAAAAAAAAAI/AAAAAAAAAAA/UM6OFm1TNG4/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJSYYL9dbpBZERAH45ckrXXJI,https://lh3.googleusercontent.com/p/AF1QipOeTp4hJ3pKF637MTfSduMhtXn0vgGCLxdgLtI=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOeTp4hJ3pKF637MTfSduMhtXn0vgGCLxdgLtI=w1600-h1000-k-no,https://lh4.googleusercontent.com/-CZP31uCiJE8/AAAAAAAAAAI/AAAAAAAAAAA/dy8mS6t3z6o/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
