place_id,tag_type,tag_description,tag_value,source
ChIJ4d2EXxbRBZER_xbi4ogLMxU,Amenities,Toilet,TRUE,parsed
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,Amenities,Toilet,TRUE,parsed
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Amenities,Toilet,TRUE,parsed
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Payments,Credit cards,TRUE,parsed
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Payments,NFC mobile payments,TRUE,parsed
ChIJqSHozRjIBZERtbsnNkuMfng,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJqSHozRjIBZERtbsnNkuMfng,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJqSHozRjIBZERtbsnNkuMfng,Amenities,Toilet,TRUE,parsed
ChIJqSHozRjIBZERtbsnNkuMfng,Payments,Credit cards,TRUE,parsed
ChIJqSHozRjIBZERtbsnNkuMfng,Payments,Debit cards,TRUE,parsed
ChIJqSHozRjIBZERtbsnNkuMfng,Payments,NFC mobile payments,TRUE,parsed
ChIJ-Y9xE8PFBZERYnNQ_wmVuXg,Amenities,Toilet,TRUE,parsed
ChIJa1MpRMDPBZER3Zq-EXTKhP8,Amenities,Toilet,TRUE,parsed
ChIJAQXOKwvNBZERqF_wMqqlaZc,Amenities,Toilet,TRUE,parsed
ChIJAQXOKwvNBZERqF_wMqqlaZc,Children,Good for kids,TRUE,parsed
ChIJKesXee25BZERRTPN-SaAGX4,Service options,On-site services,TRUE,parsed
ChIJKesXee25BZERRTPN-SaAGX4,Amenities,Gender-neutral toilets,TRUE,parsed
ChIJKesXee25BZERRTPN-SaAGX4,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJKesXee25BZERRTPN-SaAGX4,Crowd,Transgender safe space,TRUE,parsed
ChIJKesXee25BZERRTPN-SaAGX4,Planning,Appointment required,TRUE,parsed
ChIJKesXee25BZERRTPN-SaAGX4,Other,LGBTQ+ friendly,TRUE,parsed
ChIJ1YpSKgDJBZERKDmUGecW1nQ,Accessibility,Wheelchair-accessible seating,TRUE,parsed
ChIJ1YpSKgDJBZERKDmUGecW1nQ,Amenities,Toilet,TRUE,parsed
ChIJ1YpSKgDJBZERKDmUGecW1nQ,Parking,Free parking lot,TRUE,parsed
ChIJqT3IfADFBZERiGYMI6Qk8xc,Amenities,Toilet,TRUE,parsed
ChIJEXKqbTO3BZER3euLTELXG_U,Amenities,Toilet,TRUE,parsed
ChIJXfqFUWXHBZERBCWUtdh8OzA,Amenities,Toilet,TRUE,parsed
ChIJA-eyd8bIBZERzlDlMoT-BUo,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJA-eyd8bIBZERzlDlMoT-BUo,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJA-eyd8bIBZERzlDlMoT-BUo,Amenities,Toilet,TRUE,parsed
ChIJA-eyd8bIBZERzlDlMoT-BUo,Payments,Debit cards,TRUE,parsed
ChIJA-eyd8bIBZERzlDlMoT-BUo,Payments,NFC mobile payments,TRUE,parsed
ChIJA-eyd8bIBZERzlDlMoT-BUo,Payments,Credit cards,TRUE,parsed
ChIJOfVTLj_JBZERTUyB_kKhYnc,Amenities,Toilet,TRUE,parsed
ChIJOfVTLj_JBZERTUyB_kKhYnc,Children,Family discount,TRUE,parsed
ChIJJ-HrgETHBZERj90CNmOWPh4,Amenities,Toilet,TRUE,parsed
ChIJuSGxkgrRBZER1xdiRMDhh04,Amenities,Toilet,TRUE,parsed
ChIJzwKq4Mi5BZER0d4ZhuG1mXA,Amenities,Toilet,TRUE,parsed
ChIJN5ZmqUjDBZERfg6CAsw_DIk,Amenities,Toilet,TRUE,parsed
ChIJ_7g9iXnHBZERhEl77cpDon4,Amenities,Toilet,TRUE,parsed
ChIJk8SzSkDOBZERCTZ3zE24RQw,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJk8SzSkDOBZERCTZ3zE24RQw,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJk8SzSkDOBZERCTZ3zE24RQw,Amenities,Toilet,TRUE,parsed
ChIJN3QsxCbPBZERgR2YabPmQbA,Amenities,Toilet,TRUE,parsed
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Accessibility,Wheelchair-accessible car park,TRUE,parsed
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Amenities,Toilet,TRUE,parsed
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Children,Family discount,TRUE,parsed
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Parking,Free of charge street parking,TRUE,parsed
ChIJb35O-MG5BZER0gm5vyGT7yY,Amenities,Gender-neutral toilets,TRUE,parsed
ChIJb35O-MG5BZER0gm5vyGT7yY,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJb35O-MG5BZER0gm5vyGT7yY,Crowd,Transgender safe space,TRUE,parsed
ChIJb35O-MG5BZER0gm5vyGT7yY,Planning,Appointment required,TRUE,parsed
ChIJb35O-MG5BZER0gm5vyGT7yY,Other,LGBTQ+ friendly,TRUE,parsed
ChIJKaKtOJLTBZERIcXehVZ4ODk,Amenities,Toilet,TRUE,parsed
ChIJl8KifKTVBZERAZzwbANiMV4,Amenities,Toilet,TRUE,parsed
ChIJN9wzg_zRBZERNZr_IawriMM,Amenities,Toilet,TRUE,parsed
ChIJ978EWfa5BZERiREZ7hbxVA0,Amenities,Toilet,TRUE,parsed
ChIJvwqpvkHHBZERdO0CswW9ZsU,Amenities,Toilet,TRUE,parsed
ChIJgfP7ckzRBZERYV0OABgUnqA,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJvYHKt3-jBZEROnva_mUx-X0,Amenities,Toilet,TRUE,parsed
ChIJGy2VpEjPBZERRuN81xfxeJc,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJGy2VpEjPBZERRuN81xfxeJc,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJGy2VpEjPBZERRuN81xfxeJc,Amenities,Toilet,TRUE,parsed
ChIJvacSRQDVBZERBxHZNVWjEjw,Amenities,Toilet,TRUE,parsed
ChIJabJUHWzHBZERBIaiGFzAyBc,From the business,Identifies as women-owned,TRUE,parsed
ChIJabJUHWzHBZERBIaiGFzAyBc,Service options,On-site services,TRUE,parsed
ChIJabJUHWzHBZERBIaiGFzAyBc,Amenities,Toilet,TRUE,parsed
