place_id,Friday_open,Monday_open,Saturday_open,Sunday_open,Thursday_open,Tuesday_open,Wednesday_open,Friday_close,Monday_close,Saturday_close,Sunday_close,Thursday_close,Tuesday_close,Wednesday_close,Friday_closed,Monday_closed,Saturday_closed,Sunday_closed,Thursday_closed,Tuesday_closed,Wednesday_closed,Friday_pattern_flag,Monday_pattern_flag,Saturday_pattern_flag,Sunday_pattern_flag,Thursday_pattern_flag,Tuesday_pattern_flag,Wednesday_pattern_flag
ChIJk8SzSkDOBZERCTZ3zE24RQw,07:00,07:00,07:00,07:00,07:00,07:00,07:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJkXP02G3JBZERHLuIe0SQAHM,05:00,05:00,10:00,NA,05:00,05:00,05:00,22:00,22:00,12:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJkb7L-yPHBZERvMfhofqs9f0,06:00,06:00,11:00,NA,06:00,06:00,06:00,22:30,22:30,14:00,NA,22:30,22:30,22:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJkfQshOjFBZERHZm1o7HcYTE,00:00,00:00,NA,NA,00:00,00:00,00:00,23:59,23:59,NA,NA,23:59,23:59,23:59,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,24hrs,24hrs,closed,closed,24hrs,24hrs,24hrs
ChIJkwetawDPBZERe4-TTmC1ho0,06:00,06:00,06:00,NA,06:00,06:00,06:00,23:00,23:00,23:00,NA,23:00,23:00,23:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJl-OE-4bIBZERA407nV0og0Y,06:00,06:00,11:30,NA,11:30,11:30,06:00,22:00,22:00,17:30,NA,20:30,20:30,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJl0MWi2DPBZERgFcEjhaUsr4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJl7jBoyrPBZER7uggoGyGutA,04:00,04:00,10:00,NA,05:00,05:00,04:00,21:00,21:00,12:00,NA,21:00,21:00,21:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJl8KifKTVBZERAZzwbANiMV4,08:00,08:00,08:00,08:00,08:00,08:00,08:00,22:30,22:30,12:00,12:00,22:30,22:30,22:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJlYGuR9nIBZERDTNNPHOPDrE,07:00,07:00,07:00,NA,07:00,07:00,07:00,21:00,21:00,21:00,NA,21:00,21:00,21:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJlbGtU7_LBZERmVRwOcVZAmg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJleickSfFBZERvxocs06mECI,05:30,05:30,NA,NA,05:30,05:30,05:30,22:00,22:00,NA,NA,22:00,22:00,22:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJm6XxcgS5BZER8rNsS3pqcIk,04:00,04:00,10:00,NA,NA,NA,04:00,23:00,23:00,12:00,NA,NA,NA,23:00,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,standard,standard,standard,closed,closed,closed,standard
ChIJn7sYPwDJBZER8XVYDRxEe8E,06:30,06:30,10:30,NA,06:30,06:30,06:30,21:30,21:30,13:00,NA,21:30,21:30,21:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJo5dfznG7BZERUKPgRmSt_tE,09:00,09:00,09:00,NA,09:00,09:00,09:00,21:30,21:30,21:30,NA,21:30,21:30,21:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJoX5d-zW3BZERvLanKo27QSY,08:00,08:00,08:00,NA,08:00,08:00,08:00,21:00,21:00,21:00,NA,21:00,21:00,21:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJp8E3VQ3PBZERnloYE0DqDw4,07:00,07:00,07:00,NA,07:00,07:00,07:00,22:30,22:30,22:00,NA,22:30,22:30,22:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJpbOPHQDPBZERgNhOqhBdNlI,05:00,05:00,10:00,NA,05:00,05:00,05:00,22:30,22:30,13:00,NA,22:30,22:30,22:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJpx8PrxK5BZER6zsdCeVE_ks,07:00,07:00,07:00,07:00,07:00,07:00,07:00,22:00,22:00,19:00,12:00,22:00,22:00,22:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,08:00,08:00,NA,08:00,NA,NA,08:00,20:00,20:00,NA,10:00,NA,NA,20:00,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,standard,standard,closed,standard,closed,closed,standard
ChIJqSHozRjIBZERtbsnNkuMfng,06:30,06:30,08:00,NA,06:30,06:30,06:30,22:00,22:00,17:30,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJqT3IfADFBZERiGYMI6Qk8xc,06:00,06:00,10:00,NA,06:00,06:00,06:00,22:00,22:00,13:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJr4hIAu_LBZERILPbEM-CM9w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
