place_id,Amenities_Toilet,Accessibility_Wheelchair-accessible car park,Accessibility_Wheelchair-accessible entrance,Children_Family discount,Children_Good for kids,Service options_On-site services,Service options_Online classes,Planning_Appointment required,Payments_Credit cards,Payments_Debit cards,Children_Discounts for kids,Parking_Free of charge street parking,Payments_NFC mobile payments,Accessibility_Wheelchair-accessible seating,Amenities_Swimming pool,Planning_Membership required,Amenities_Gender-neutral toilets,Service options_Outdoor services,Crowd_LGBTQ+ friendly,Crowd_Transgender safe space,Parking_Free parking lot,Other_LGBTQ+ friendly,Accessibility_Assistive hearing loop,Accessibility_Wheelchair-accessible toilet,Atmosphere_Shower,Parking_On-site parking,Parking_Paid multi-storey car park,From the business_Identifies as women-owned,Parking_Paid street parking,Other_Identifies as women-owned,Amenities_Child care,Parking_Free multi-storey car park,Offerings_Sauna,Amenities_Restaurant,Parking_Paid parking lot,about_json_error_or_empty
ChIJvXw3qH7JBZERLNp_Vfw8XJo,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJza2soSGjBZERGi_K1jWpiCw,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ9QBFvzyfBZERfeRaigDBmh8,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ433FgiDOBZER8YkaGFvLvBw,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJpbOPHQDPBZERgNhOqhBdNlI,TRUE,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJkb7L-yPHBZERvMfhofqs9f0,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA
ChIJ_49ZfwC5BZER25WIUu0zge8,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ_x2r75vJBZERgmBgN_FrDIM,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ13qNn8TJBZERWbv_je4pbBw,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ8R-GFhDJBZERhtpx6oScBN4,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
