place_id,name,city,lat,lon,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_friendly,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,offers_gi,offers_no_gi,overall_rating,num_reviews,reviews_link,photo_link,logo_link,whatsapp_number,instagram,facebook
ChIJ59fyEPi5BZER8SxRYGoYSio,Academia True Wrestling,Santiago de Surco,-12.1298503,-76.9844173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,8,https://search.google.com/local/reviews?placeid=ChIJ59fyEPi5BZER8SxRYGoYSio,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpTlHDb5KviicMNZl41RKsQitkSs2SUWNJi0kEKW-oFk8f6W7lUAaOPn4SG_pUf_AOOClmSwxBe0u5OW_Z53639v7uAWmWJOyxiFeoZodq7ak1AYFyAIBPAs006JEmpv3fI-kwPA=w800-h500-k-no,NA,+51996669030,NA,https://www.facebook.com/truewrestlingperu
ChIJw5H8H1S4BZER1YkZvEUhdsg,"Academy of Martial Arts ""RAGAZZI""",San Juan de Miraflores,-12.1664838,-76.968537799999993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.6,21,https://search.google.com/local/reviews?placeid=ChIJw5H8H1S4BZER1YkZvEUhdsg,https://lh5.googleusercontent.com/JzB-GtNUdwashsImK6-8tyM4Gza7p4xQNtJHTaBBqVm-LZCTy3BdvYg5OJInOwvN=w800-h500-k-no,NA,+51968207669,NA,https://www.facebook.com/artesmarcialesSJM
ChIJbehiZfDHBZERxD71uXfBsvE,Almeida Jiu Jitsu,Surquillo,-12.119646,-76.9979874,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,33,https://search.google.com/local/reviews?placeid=ChIJbehiZfDHBZERxD71uXfBsvE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfUpp04PXXT8Ef_m4RLBTVX__7R2FZqNZFPpQNIFb6oHE5oLxqKBOqUvsB0LRd6ssjovW5i4OHlyuGffeZJZmNSUitChtNzB_xEmK3Q9Sbip6dM4ucrOEBIaIvxshKz52atW-f=w800-h500-k-no,NA,+51981526306,NA,https://www.facebook.com/dreamartxkazoku
ChIJe8lhM-zJBZERvsFzVLnwZVE,Alpha Wolf - Escuela de artes marciales y deportes de contacto,Callao,-12.0546474,-77.0933488,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJe8lhM-zJBZERvsFzVLnwZVE,https://lh3.googleusercontent.com/p/AF1QipPM6MHj2ETgwqtp-KjjYG0b2daWjgn84pEU0T5C=w800-h500-k-no,https://lh3.googleusercontent.com/-DUHU9BANLqU/AAAAAAAAAAI/AAAAAAAAAAA/8pTzdSIcVuI/s44-p-k-no-ns-nd/photo.jpg,+51970492363,NA,NA
ChIJWcjah627BZERr3KaEviXWL4,aranha_smp,Surquillo,-12.113704,-77.0120024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJWcjah627BZERr3KaEviXWL4,NA,https://lh4.googleusercontent.com/-CLleqKKx5sA/AAAAAAAAAAI/AAAAAAAAAAA/ZZlNnCRIxQk/s44-p-k-no-ns-nd/photo.jpg,+51942121777,https://www.instagram.com/aranha_smp,NA
ChIJvxVDJhq5BZERQHmnynp95sg,Art Choke,Santiago de Surco,-12.1288515,-76.9978008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,56,https://search.google.com/local/reviews?placeid=ChIJvxVDJhq5BZERQHmnynp95sg,https://lh3.googleusercontent.com/p/AF1QipPBNepmw6B78nq8pquvfIfj87qCMnKL00xy5PMx=w800-h500-k-no,https://lh5.googleusercontent.com/-KLc2pgBU90k/AAAAAAAAAAI/AAAAAAAAAAA/O1r1AwltatI/s44-p-k-no-ns-nd/photo.jpg,+51939252711,NA,NA
ChIJP096eO_RBZERoalEPIOyesI,Arte Suave,Carabayllo,-11.8757812,-77.0321212,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,19,https://search.google.com/local/reviews?placeid=ChIJP096eO_RBZERoalEPIOyesI,NA,https://lh5.googleusercontent.com/-fU-LbhhqplY/AAAAAAAAAAI/AAAAAAAAAAA/NSrZXf0WGik/s44-p-k-no-ns-nd/photo.jpg,+51994011849,https://www.instagram.com/dojo.artesuave,NA
ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,ARTEM Fight Studio,Miraflores,-12.1228996,-77.0259863,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,https://search.google.com/local/reviews?placeid=ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,NA,NA,NA,NA,NA
ChIJj0IXpKXFBZERJoi_5KYTcYw,Artes Marciales Mixtas SM,El Agustino,-12.0324707,-76.9875982,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,https://search.google.com/local/reviews?placeid=ChIJj0IXpKXFBZERJoi_5KYTcYw,NA,https://lh6.googleusercontent.com/-zXhHzMNXmhI/AAAAAAAAAAI/AAAAAAAAAAA/mqc2RZV8kOA/s44-p-k-no-ns-nd/photo.jpg,+51935521046,NA,NA
ChIJQ2fNfwe4BZERh-TrCyDrHOk,Artes Marciales Orion,Santiago de Surco,-12.1291561,-77.0020349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.9,20,https://search.google.com/local/reviews?placeid=ChIJQ2fNfwe4BZERh-TrCyDrHOk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrS0Otlp5iJktZIMoqORktiiO2WCiJBkjY_E6ItQW9usJaSXZpacfzgJEbikLaTbOLTAHtPodCJ8Bra2c5RPm5rqAnXsaw8uzGKqXFv_F_8eSfNJM_a_fO0UOEaGhVdgYRo2E6cndp19Mw7=w800-h500-k-no,https://lh3.googleusercontent.com/-FExd25f43Zc/AAAAAAAAAAI/AAAAAAAAAAA/aawKHWv8UXc/s44-p-k-no-ns-nd/photo.jpg,+51915137692,NA,NA
