place_id,name,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_friendly,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,offers_gi,offers_no_gi
ChIJG05Mh_DHBZERetDpq21KTFw,Monkey Jiu Jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJNeMy2jDJBZERawYM4lCPlLc,Mutant House Jiu Jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJv_9GrX3JBZERpdIfG8ujNTI,Nagare Jiu Jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJZxWvr-HIBZERPwGb5wPFqag,Nippi Judo Club Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ3cBfgAbJBZERjo1i2MqHYMk,NKO Training Center I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJP6z8pTTJBZERkq2_VrWh5QA,NS BROTHERHOOD LINCE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJl-OE-4bIBZERA407nV0og0Y,NS BROTHERHOOD PERÚ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJG1UHBFrJBZERLbEeqYaaKuY,OSAE Jiu Jitsu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJn7sYPwDJBZER8XVYDRxEe8E,Parabellum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJkwetawDPBZERe4-TTmC1ho0,Peru Combat Warriors,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
