place_id,name,district,lat,lon,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_classes,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,gi_class,no_gi_class,whatsapp_number,instagram,facebook,about,overall_rating,num_reviews,reviews_link,photo_link,logo_link,has_adult_classes
ChIJdyuWXifRBZERL7akeaIyRfA,Game Fight Sede Comas,Comas,-11.9344561,-77.0556958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51912951630,https://www.instagram.com/gamefightcomas,https://www.facebook.com/profile.php?id=61576319475002,Escuela de Brazilian Jiu Jitsu en Perú. Parte del equipo de @gamefightoficial,,,https://search.google.com/local/reviews?placeid=ChIJdyuWXifRBZERL7akeaIyRfA,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zk10Dstht1lwCbmK7uT9oA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=104.91051&pitch=0&thumbfov=100,https://lh3.googleusercontent.com/-TenNZYmOb1o/AAAAAAAAAAI/AAAAAAAAAAA/Z3FTAdtFYto/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJoX5d-zW3BZERvLanKo27QSY,Chorrillos Fight Center,Chorrillos,-12.1768836,-77.0113008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51923122121,https://www.instagram.com/chorrillosfightcenter/,https://www.facebook.com/p/Chorrillos-fight-center-100076221682209/,Centro de artes marciales y fitness como muay thai capoeira jiu jitsu y mma para todos los niveles y objetivos dentro de un ambiente seguro.,4.8,4,https://search.google.com/local/reviews?placeid=ChIJoX5d-zW3BZERvLanKo27QSY,https://lh3.googleusercontent.com/p/AF1QipOmOMA9I3eZrv2nXfywQTIdNzYpk5hpchGCRRmV=w800-h500-k-no,https://lh4.googleusercontent.com/-X8ZZNxiGihI/AAAAAAAAAAI/AAAAAAAAAAA/thAdn29mE5A/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJeUrtvNnJBZERNyjbCLzob6k,Club Los Indomables,La Victoria,-12.0754954,-77.020386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51996432306,https://www.instagram.com/explore/locations/113184434334270/club-los-indomables/,https://www.facebook.com/clubindomablesperu/,"No pierdas esta gran oportunidad de aprender este arte marcial efectivo para las mma, competencia y defensa personal. Contamos con equipo de preparación para competencia, aprenderás llaves efectivas para situaciones en la vida real, conocerás muchas más academias, tendrás beneficios únicos y mucho más.",4.7,6,https://search.google.com/local/reviews?placeid=ChIJeUrtvNnJBZERNyjbCLzob6k,https://lh3.googleusercontent.com/p/AF1QipO46owr3SuyvngXOURt5HL_rajY0pulTdnxvy77=w800-h500-k-no,https://lh6.googleusercontent.com/-APUMoLfFWV0/AAAAAAAAAAI/AAAAAAAAAAA/YsNyY-DxGfo/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJQ2RMgsTHBZER5qEcaRKPudY,Contsrictor Peru Jiu jitsu & MMA,Ate,-12.0826739,-76.9845845,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51949131694,https://www.instagram.com/constrictorperu/?hl=en,https://www.facebook.com/constrictorperu/?locale=es_LA,"Escuela de artes marciales, deportes de combate, y defensa personal",4.8,16,https://search.google.com/local/reviews?placeid=ChIJQ2RMgsTHBZER5qEcaRKPudY,https://lh3.googleusercontent.com/p/AF1QipNnongFI3vXCCdNTbv7R2fZlNJAF7OeC9BxAgUW=w800-h500-k-no,https://lh6.googleusercontent.com/-cc_HxHzYEpo/AAAAAAAAAAI/AAAAAAAAAAA/Y8pj0epCrBA/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,Contacto Livre,Pueblo Libre,-12.0796855,-77.0589658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51931510135,https://www.instagram.com/contactolivre/?hl=en,https://www.facebook.com/ContatoLivre/,Escuela de artes marciales.,4.9,19,https://search.google.com/local/reviews?placeid=ChIJ2wEqSgLJBZER6Nr2SfsZm_E,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeAcuz6CeaTxGHi0oh-B9Oedk3hGZtgT5BNp13UI3H-iDZEwyG3dkN4HIN7cmhyruEaHPEFQr0N3yz2gImueF1KPBLcbD3JK6Jd9x6b_wSkYPtQA0oPel4OOfdAhW6QPoXmoQm=w800-h500-k-no,https://lh3.googleusercontent.com/-IM6KnNxVFTE/AAAAAAAAAAI/AAAAAAAAAAA/gaPIoniLDOI/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJ3ZU-A2-5BZERY2-mnwJImBg,Core Jiu Jitsu & Luta Livre Sede Surco,Santiago de Surco,-12.1298503,-76.9844173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51998124113,https://www.instagram.com/corejiujitsu,https://www.facebook.com/corejiujitsulutalivre,Core Jiujitsu & Luta Livre es una escuela dedicada a difundir el arte del jiujitsu en la modalidad de Gi y No Gi asi como el deporte de la Luta Livre.,5,2,https://search.google.com/local/reviews?placeid=ChIJ3ZU-A2-5BZERY2-mnwJImBg,,https://lh6.googleusercontent.com/-PHCQmIMlr4s/AAAAAAAAAAI/AAAAAAAAAAA/EAInsBs8TCo/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJH2ACIMDPBZERfhs_s1bpIRM,Core Jiu Jitsu & Luta Livre Sede Callao,Callao,-12.020619,-77.1011654,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51979782353,https://www.instagram.com/corejiujitsu/reels/,https://www.facebook.com/CoreJiujitsuLutalivreCallao/,Core Jiujitsu & Luta Livre es una escuela dedicada a difundir el arte del jiujitsu en la modalidad de Gi y No Gi asi como el deporte de la Luta Livre.,,,https://search.google.com/local/reviews?placeid=ChIJH2ACIMDPBZERfhs_s1bpIRM,https://lh3.googleusercontent.com/p/AF1QipOajIZesTXSNJ2zlyNnv2hcOtAxDq5nlBEt6-Ad=w800-h500-k-no,https://lh3.googleusercontent.com/-gBDPQ1DZ-UU/AAAAAAAAAAI/AAAAAAAAAAA/_6tsbNb9nXg/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJcS5KKr_QBZERqHtSYCUJARg,Dojo Hermandad Artes Marciales Mixtas,Carabayllo,-11.8788988,-77.0306987,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51936735519,https://www.instagram.com/dojo_la_hermandad/?hl=en,https://www.facebook.com/dojo.hermandad.artes.marciales.mixtas/photos,Somos un Dojo de artes marciales mixtas cuyo objetivo es transmitir los valores marciales a cada discípulo y así poder forjar un artista marcial.,,,https://search.google.com/local/reviews?placeid=ChIJcS5KKr_QBZERqHtSYCUJARg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1wy8WN4jOhjkVn26tSiZ3Q&cb_client=search.gws-prod.gps&w=800&h=500&yaw=149.10118&pitch=0&thumbfov=100,,TRUE
ChIJOfOF4ui9BZERNEHtLiFSW_U,Dojo Lurin,Lurin,-12.2764449,-76.8717649,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51940784789,https://www.instagram.com/dojolurin/?hl=en,https://www.facebook.com/p/Dojo-Lurin-100039886373532/,"Academia de Artes Marciales Jiu Jitsu, Muay Thai, Karate & MMA",4.7,34,https://search.google.com/local/reviews?placeid=ChIJOfOF4ui9BZERNEHtLiFSW_U,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfCbZ1aWEbJvS8BvMkfC-Ia30c-kUtyn8DgZxDgMSWVX8A7sLWWRTBwaGccM1fZfdV1bATQIkwoudlmBKNwZ6_ux-0ez5Cw0sR9wB1D-108xVgvTVpPDqptTz_D4r5PmbDb873gw=w800-h500-k-no,,TRUE
ChIJvXw3qH7JBZERLNp_Vfw8XJo,Dojo Mentesaiko,Surquillo,-12.1139094,-77.0154485,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51920207678,https://www.instagram.com/dojomentesaiko.bjjmma,https://www.facebook.com/dojomentesaikobjjmma/,Descubre tu fuerza interior y habilidades en artes marciales con nosotros.,5,12,https://search.google.com/local/reviews?placeid=ChIJvXw3qH7JBZERLNp_Vfw8XJo,https://lh3.googleusercontent.com/p/AF1QipMSI5_E2JyiqLSe7b-5cf4S9DFMK9MnewwMbUxJ=w800-h500-k-no,https://lh3.googleusercontent.com/-o8Cg7qPMaQo/AAAAAAAAAAI/AAAAAAAAAAA/sC9rCvr6ANE/s44-p-k-no-ns-nd/photo.jpg,TRUE
